kind,date,mode_price
きゅうり,20220517,1554.5844
きゅうり,20220519,1555.0
きゅうり,20220520,1555.8187
きゅうり,20220521,1556.8646
きゅうり,20220523,1555.787
きゅうり,20220524,1558.4537
きゅうり,20220526,1559.1421
きゅうり,20220527,1559.8344
きゅうり,20220528,1559.2123
きゅうり,20220530,1556.1578
きゅうり,20220531,1553.9662
トマト,20220502,1314.2406
トマト,20220506,1303.4515
トマト,20220507,1304.466
トマト,20220509,1299.6931
トマト,20220510,1299.3882
トマト,20220512,1294.5758
トマト,20220513,1294.4845
トマト,20220514,1294.4845
トマト,20220516,1294.1486
トマト,20220517,1293.5669
トマト,20220519,1293.5669
トマト,20220520,1293.5669
トマト,20220521,1293.5669
トマト,20220523,1296.0084
トマト,20220524,1297.168
トマト,20220526,1297.6571
トマト,20220527,1296.4314
トマト,20220528,1296.4314
トマト,20220530,1295.9214
トマト,20220531,1296.5836
ピーマン,20220502,76.273926
ピーマン,20220506,76.32494
ピーマン,20220507,76.18877
ピーマン,20220509,75.3918
ピーマン,20220510,75.01401
ピーマン,20220512,74.64834
ピーマン,20220513,74.55695
ピーマン,20220514,74.55695
ピーマン,20220516,74.54688
ピーマン,20220517,73.979324
ピーマン,20220519,73.9525
ピーマン,20220520,73.89226
ピーマン,20220521,73.76328
ピーマン,20220523,73.520676
ピーマン,20220524,73.272835
ピーマン,20220526,73.30167
ピーマン,20220527,73.32622
ピーマン,20220528,73.32622
ピーマン,20220530,72.99525
ピーマン,20220531,73.20349
じゃがいも,20220502,2539.0815
じゃがいも,20220506,2561.4438
じゃがいも,20220507,2559.647
じゃがいも,20220509,2556.0652
じゃがいも,20220510,2557.0332
じゃがいも,20220512,2555.9155
じゃがいも,20220513,2557.8923
じゃがいも,20220514,2561.5396
じゃがいも,20220516,2562.4373
じゃがいも,20220517,2574.7122
じゃがいも,20220519,2574.7122
じゃがいも,20220520,2574.7122
じゃがいも,20220521,2574.7122
じゃがいも,20220523,2574.7122
じゃがいも,20220524,2574.7122
じゃがいも,20220526,2573.8003
じゃがいも,20220527,2571.482
じゃがいも,20220528,2569.9517
じゃがいも,20220530,2541.1484
じゃがいも,20220531,2539.7754
なましいたけ,20220502,123.5673
なましいたけ,20220506,123.639015
なましいたけ,20220507,123.251175
なましいたけ,20220509,123.251175
なましいたけ,20220510,123.13828
なましいたけ,20220512,123.13828
なましいたけ,20220513,123.13828
なましいたけ,20220514,123.13828
なましいたけ,20220516,123.13828
なましいたけ,20220517,123.14459
なましいたけ,20220519,123.15639
なましいたけ,20220520,123.26268
なましいたけ,20220521,123.22471
なましいたけ,20220523,123.22471
なましいたけ,20220524,123.24746
なましいたけ,20220526,123.25883
なましいたけ,20220527,123.25883
なましいたけ,20220528,123.25883
なましいたけ,20220530,123.341446
なましいたけ,20220531,123.31517
セルリー,20220502,2721.5227
セルリー,20220506,2729.0881
セルリー,20220507,2742.803
セルリー,20220509,2750.6396
セルリー,20220510,2752.33
セルリー,20220512,2751.366
セルリー,20220513,2741.1702
セルリー,20220514,2741.1702
セルリー,20220516,2699.3635
セルリー,20220517,2691.6902
セルリー,20220519,2663.9387
セルリー,20220520,2635.8354
セルリー,20220521,2635.8354
セルリー,20220523,2641.5544
セルリー,20220524,2637.9204
セルリー,20220526,2637.9204
セルリー,20220527,2638.6858
セルリー,20220528,2637.6265
セルリー,20220530,2652.3228
セルリー,20220531,2657.0457
そらまめ,20220502,2378.3833
そらまめ,20220506,2382.356
そらまめ,20220507,2368.4868
そらまめ,20220509,2369.4187
そらまめ,20220510,2347.4136
そらまめ,20220512,2323.5967
そらまめ,20220513,2328.4587
そらまめ,20220514,2339.1418
そらまめ,20220516,2172.648
そらまめ,20220517,2114.033
そらまめ,20220519,2095.7551
そらまめ,20220520,2082.5586
そらまめ,20220521,2071.675
そらまめ,20220523,2098.0251
そらまめ,20220524,2100.87
そらまめ,20220526,2140.2874
そらまめ,20220527,2136.2126
そらまめ,20220528,2143.4836
そらまめ,20220530,2224.8687
そらまめ,20220531,2222.2947
ミニトマト,20220502,131.85387
ミニトマト,20220506,131.52518
ミニトマト,20220507,131.49156
ミニトマト,20220509,131.53107
ミニトマト,20220510,131.53107
ミニトマト,20220512,132.54123
ミニトマト,20220513,131.98154
ミニトマト,20220514,132.02367
ミニトマト,20220516,130.50519
ミニトマト,20220517,130.48462
ミニトマト,20220519,130.36888
ミニトマト,20220520,130.20026
ミニトマト,20220521,130.24606
ミニトマト,20220523,130.19296
ミニトマト,20220524,130.29195
ミニトマト,20220526,130.24504
ミニトマト,20220527,130.24504
ミニトマト,20220528,130.39137
ミニトマト,20220530,130.61388
ミニトマト,20220531,130.72466
